content,emoji,comment,current,time,comments_size
['Tui cần 1 bạn kèm giúp tui môn thanh toán trong ngoại thương ạ. Trả công xứng đáng ạaaa '],"['Thích, 1']",[],868,"Thứ Tư, 13 Tháng 3, 2024 lúc 08:16",0
['Em cần tìm sách dưới đâyyy ạaaaaa '],"['Thích, 4']","['Mình có tổng quan du lịch 15k', 'Nguyễn Duyên c ơi rep ib em ạ', 'Mình có gttkd', 'Mình có ạ', 'Mình có tổng quan', 'Mk có triết nha', 'Theo dõi', 'Bạn nào Tiếng Anh ở mức căn bản muốn học cải thiện,Giao tiếp hay muốn có phương pháp và định hướng tự học IELTS thì follow FB mình nhé', 'Mình có gttkd 25k']",1067,"Thứ Tư, 13 Tháng 3, 2024 lúc 08:16",9
"['Tìm phòng ở ghép\nGần đại học kinh tế\nChuyển vào bây h hoặc giữa tháng đều đc\nGiờ giấc tự do, phòng thoáng 1 tí']","['Thích, 5']","['Linh Chi', '2', 'Xe chuyển trọ giá sv bưng bê nhiệt tình, sdt Zalo 0935560252', 'ib tui', 'Linh Chi chị check ib e với ạ', 'Hoài Thương riêng e thì k nhe', 'Ib tui', 'ib mình']",8681,"Thứ bảy, 9 Tháng 3, 2024 lúc 11:31",8
['Em cần tìm slide marketing căn bản và giao tiếp trong kinh doanh ạ'],"['Thích, 2']","['Ké ạ. Mình pass tài liệu lttktc full tài liệu học và thi ko cần in gì thêm', 'mh có đủ tài liệu 2 học phần trên nhưng bản mềm file pdf , tặng free cho ai cần ạ. Sẵn tiện mh tìm mua sách giáo trình môn kinh doanh quốc tế và thị trường và định chế tc ạ', 'c pass slide mar nha( mới in)']",9350,"Thứ bảy, 9 Tháng 3, 2024 lúc 09:30",3
['Mình pass: \n- gt toán ưd + tài liệu: 15k\n- Slide vĩ mô 10k\n- slide marketing ( mới in): 10k'],[],[],9860,"Thứ bảy, 9 Tháng 3, 2024 lúc 09:30"
"['TÌM BẠN Ở GHÉP \nHiện tại phòng mình cần tìm nữ ở ghép\nĐịa chỉ: 87/23 Ngũ Hành Sơn, phòng rộng thoáng mát- có gác lửng,vệ sinh trong, giờ giấc tự do, an ninh tốt, gần trường, gần chợ.\nPhòng đã đầy đủ đồ dùng, chỉ cần dọn vô ở\nGiá 2tr2/tháng\nPhòng hiện tại đã có 2 người\nMn quan tâm ib mình để biết rõ chi tiết ạ']",[],[],10122,"Thứ bảy, 9 Tháng 3, 2024 lúc 09:30"
"['Anh chị cho em hỏi đầu ra toiec trường mình bao nhiêu điểm vậy ạ , 4 kĩ năng hay 2 kĩ năng ạ .']","['Thích, 7']","['Theo dõi', '2 skill 450đ ạ', 'Mình hỗ trợ đầu ra ngoại ngữ cho sv xét tốt nghiệp cần ib mình ht', 'tùy ngành và 2 kĩ năng ạ', 'có nhu cầu học toeic ib cô nhé', 'Lớp Online - Offline - Cạnh ĐẠI HỌC KINH TẾ C có 965/990 Toeic.', 'Sắp tới c có lớp Toeic Cơ bản + Luyện thi', 'năm ngoái mình hỏi thì khoá 48K là 2 kỹ năng, k biết khoá 49k với về sau ra sao.', '2 kỹ năng thui nha 450 là được á', 'Đoàn An Nhiên pass ra trường luôn phải k ạ', 'Như Như Đúng r ạ', 'Bạn cần học tiếng Anh pass học phần hay ra trường thì tham khảo khóa học bên Iris English nè b, mình cũng đang là học viên ở đây. Giáo viên dạy siêu nhiệt tình, dễ hiểu, có dạy cả 2 kỹ năng và 4 kỹ năng luôn đó ạ. B quan tâm liên hệ chị Phuong Ly Iris để được hỗ trợ thông tin nhé']",10565,"Thứ bảy, 9 Tháng 3, 2024 lúc 09:30",12
['Dạ anh chị nào có gtrinh những môn này pass em với ah'],[],[],11422,"Thứ Sáu, 8 Tháng 3, 2024 lúc 07:34"
"['Góc pass sách mại dô mại dô', '+3']","['Tất cả, 3', 'Thích, 2', 'Yêu thích, 1']","['Tư tưởng HCM ạ', 'Còn triết và vĩ mô ko ạ', 'Cẩm Nhàn còn vĩ mô nha', 'Còn ktct và tư tưởng ko ạ', 'Hà Lê còn tư tưởng ạ', 'Đã pass triết, kinh tế chính trị', 'Theo dõi', '#DUE Bạn nào cần chứng chỉ tin học cơ bản+ nâng cao #chuẩn_đầu_ra cấp tốc ib chị hỗ trợ nhé!\nMs Tố Trinh 0358705073 (z.a.l.o)']",12611,"Thứ Sáu, 8 Tháng 3, 2024 lúc 07:34",8
"['pass một số tài liệu như hình ạ, đồng giá 15k ạ']","['Tất cả, 4', 'Thích, 3', 'Yêu thích, 1']","['Còn gttkđ k ạ', 'Rep ib', 'còn đầu tư tài chính không ạ.', 'còn thống kê ko ạ', 'Anh Nguyen bạn ơi mình có slide và bt thống kê ạ', 'Anh Nguyen mình có thống kê nha', 'Cẩm Nhi gt hay sao ạ', 'Anh Nguyen ib ạ', 'Theo dõi', '#DUE Bạn nào cần chứng chỉ tin học cơ bản+ nâng cao #chuẩn_đầu_ra cấp tốc ib chị hỗ trợ nhé!\nMs Tố Trinh 0358705073 (z.a.l.o)']",13496,"Thứ Sáu, 8 Tháng 3, 2024 lúc 07:34",10
"['Pass sách triết bảng, tặng kèm đề cương ôn thi 20k, mới in hôm thi']","['Thích, 1']",[],14244,"Thứ Sáu, 8 Tháng 3, 2024 lúc 07:34"
['Góc pass sách'],"['Tất cả, 2', 'Thích, 1', 'Yêu thích, 1']",[],14512,"Thứ Sáu, 8 Tháng 3, 2024 lúc 07:34"
['Bạn nào thuộc nhóm First up lớp học phần Marketing Dịch Vụ của thầy Lâm Minh Quân ib em có chuyện này muốn nói ạ. Em cảm ơn'],[],[],15037,"Thứ Sáu, 8 Tháng 3, 2024 lúc 07:34"
['Cần tìm bản Eng quyển hành vi tổ chức và quản trị tài chính ạ'],"['Thích, 1']",['t có hvtc giáo trình tiếng anh'],15259,"Thứ Sáu, 8 Tháng 3, 2024 lúc 07:34",1
"['Em chào mọi người ạ\nCho em hỏi với ngành kinh doanh quốc tế có học phần bằng tiếng anh, thì với các bạn tiếng anh chưa đủ có lớp học tiếng anh trước ko ạ\nHay chỉ những bạn có các chứng chỉ tiếng anh mới đc xét học ạ?']","['Thích, 3']",['.'],15899,"Thứ Tư, 6 Tháng 3, 2024 lúc 19:21",1
['E cần tìm gtiep trong kd bằng TA ạ. Ai có ib e với ạ'],"['Thích, 2']",[],16268,"Thứ Tư, 6 Tháng 3, 2024 lúc 16:44"
"['Bạn nào gần trường có giấy, sách, vỏ lon, vở không có chỗ chứa muốn bỏ thì cho mình xin với nhé\n  nhóm mình đang cần lượng lớn giấy để tái chế ạ']","['Thích, 8']","['Bạn oi inbox mình nha', '.', 'Tụi mình cần lâu dài nên vẫn luôn nhận giấy vở của mọi người bỏ đi ạ\nnên ai chật thì nhắn mình nhoaa', 'Ib ạ', 'Ib nhen', 'Ib em ạ', '.', '.']",16536,"Thứ Tư, 6 Tháng 3, 2024 lúc 16:29",8
"['Cần pass 2 cuốn destination b1+b2, giá lẻ 85k/cuốn, mua 2 cuốn 150k\n2 cuốn tiếng hàn sơ cấp 1 (gtrinh+btap) (đen trắng) 120k\nSách giữ kĩ nên còn mới lắm, ai có nhu cầu inb nha ']",[],[],17440,"Thứ Tư, 6 Tháng 3, 2024 lúc 16:29"
['Ai cần mua tài liệu ghi bài kinh tế vĩ mô đạt A thì ib mình nhe'],"['Tất cả, 6', 'Thích, 3', 'Wow, 2', 'Yêu thích, 1']",[],17931,"Thứ Tư, 6 Tháng 3, 2024 lúc 08:53"
['mn ơi cho e xin file mềm của môn thống kê kdkt của cô cảnh với csdl của cô uyên nhi với ạ'],"['Thích, 1']","['ibx cho thống kê 10d', 'Nguyễn Thị Hoa e ib r ạ']",18841,"Thứ Tư, 6 Tháng 3, 2024 lúc 08:53",2
"['Căn hộ 2 giường 55m rộng, thoáng mát, full nội thất, ban công, giặt phơi riêng. Giá rẻ cho ai ở lâu dài. Đường Phan Tứ sát đại học kinh tế, chợ Bắc Mỹ An. Ib gửi video ạ']",[],[],19202,"Thứ Ba, 5 Tháng 3, 2024 lúc 20:02"
['Anh chị nào có giáo trình pass em vs ạ'],[],[],19859,"Thứ Ba, 5 Tháng 3, 2024 lúc 20:02"
['Mình cần pass một số tài liệu sau:\n- Luật Kinh Doanh (full) 35k\n- Giáo trình triết học Mac-Lenin 15k\n- giáo trình lịch sử đảng 15k\n- HVTC 30k'],"['Thích, 1']","['c rep e với ạ', 'Rep em với ạ', 'Phương Hồng k', 'Có tl ôn triết ko ạ?']",20727,"Thứ Ba, 5 Tháng 3, 2024 lúc 20:02",4
['GÓC PASS SÁCH\nMình cần pass một số tài liệu sau:\n- Luật Kinh Doanh (full) 35k\n- Giáo trình triết học Mac-Lenin 15k\n- giáo trình lịch sử đảng tặng vở ghi 15k\n- HVTC (giáo trình + bộ câu hỏi) 30k'],"['Thích, 2']",['Cho em hỏi còn gtrinh lsđ ko ạ'],21253,"Thứ Ba, 5 Tháng 3, 2024 lúc 20:02",1
['dạ có ac nào pass sách như hình k ạ'],"['Thích, 1']","['Mình có nhập môn kd với tổng quan dl nha', 'mình có gt triết', 'Mình có slide nmkd', 'C có gttkd nha', 'Mk có triết', 'Có ktct', 'Mình có nhập môn kd', 'mình có tổng quan dl , triết', 'Mình có giáo trình giao tiếp trong kinh doanh', 'mk có slide giáo trình nmkd 15k', 'Mình có tổng quan du lịch 15k']",21662,"Thứ Ba, 5 Tháng 3, 2024 lúc 11:11",11
['Mình dọn trọ về quê cần pass ạ'],[],[],22838,"Thứ Ba, 5 Tháng 3, 2024 lúc 11:11"
"['Mình cần slide tiếng Anh môn nmkd cô Minh Thư, ai có ib mình với ạ']","['Thích, 2']",[],23508,"Thứ Ba, 5 Tháng 3, 2024 lúc 11:11"
['Em Cần tìm bạn nữ ở ghép gần đại học Kinh tế phòng 3tr/4 người (đã có 3 người).'],"['Thích, 1']",[],23777,"Thứ Ba, 5 Tháng 3, 2024 lúc 11:11"
['Mình có một số sách giáo trình pass lại cho bạn nào cần:\n- Luật kinh doanh 20k\n- Triết học Mác Lênin 10k\n- Giao tiếp trong kinh doanh 20k\n- Kinh tế chính trị Mác Lênin 10k\n- Chủ nghĩa xã hội khoa học 10k\n- Hành vi tổ chức 20k\n- Kinh tế vĩ mô 30k'],"['Tất cả, 5', 'Thích, 4', 'Yêu thích, 1']","['Còn luật kd ko ạ', ""Đặng Thanh Nhàn mình có lkd nha'"", 'Còn luật kd và cnxh ko ạ', 'Cẩm Hà còn cnxh nha bạn', 'Cẩm Hà mình có luật kd gồm giáo trình và các bộ luật đem vào phòng thi nha', 'Hoài Lii mình cần gt thui á', 'Cẩm Hà b ib mình nha', 'Còn luật kd với triết ko ạ', 'Trần Khánh Đoan hết r nha bạn', 'Trần Khánh Đoan mình có luật kd gồm giáo trình và các bộ luật đem vào phòng thi nha', 'Còn ktct không ạ', 'Còn giao tiếp kd k ạ', 'Nguyễn Thịi Lânn ib nha', 'Bạn có giáo trình hành vi tổ chức k ạ', 'Triết có tl ôn tập ko ạ ?', 'còn cnxh ko ạ']",24028,"Thứ Ba, 5 Tháng 3, 2024 lúc 11:11",16
"['Em cần giáo trình những môn này ạ, anh chị  nào pass thì liên hệ em với ạ. Em cảm ơn ']","['Thích, 1']","['mình có slide KDQT thầy Tuấn ạ', 'mình có giáo trình quản trị học của Lê Thế Giới', 'Mình có nmkt nha', 'cần giáo trình ib a nhá..', 'mình có slide qth', 'Huỳnh Thị Khánh Vy cùng giáo viên không ạ', 'Mình có gt nhập môn kế toán nha', 'mình có qth b nha', 'Mk có triết nha', 'Ktqt ktpt qth ib', 'mình có giáo trình triết ạ', 'C có nmkt và qth nha', 'Mình có kinh tế phát triển ạ']",24522,"Thứ Ba, 5 Tháng 3, 2024 lúc 07:06",13
['Em cần tìm \n- slide + giáo trình Nhập môn kinh doanh của cô Ngô Thị Minh Thư \n- Các văn bản luật môn Luật kinh doanh nữa ạ \n  Anh chị nào pass cmt e vs ạ.'],[],[],25468,"Thứ Ba, 5 Tháng 3, 2024 lúc 07:06"
"['góc tìm bạn ở ghép, trọ 2tr thoáng mát, có gác lửng, nội thất gần như là đủ, gần đại học kinh tế có thể đi bộ được']","['Thích, 1']",[],25870,"Thứ Hai, 4 Tháng 3, 2024 lúc 21:13"
['Mình cần tìm sách cho English Communication 2 (chưa cào mã) và B1 (chưa điền) ạ'],"['Thích, 1']","['.', '.', 'Mình có ec2 chưa cào mã và b1 làm vài trang', 'Ha An bạn check ib mình với nha', 'Ngoc Anh mình không thấy tn nơi', 'Ha An cho mình xin giá nhaa', 'Mình có B1 mới mua chưa dùng nha']",26122,"Thứ Hai, 4 Tháng 3, 2024 lúc 21:13",7
"['[GÓC TẶNG SÁCH] \nMình có dư 1 số giáo trình, sách sau. Bạn nào cần hay muốn nâng skill English thì ib mình với nha.']",[],[],26587,"Thứ Hai, 4 Tháng 3, 2024 lúc 17:30"
['Cho em hỏi là sao em không thấy nút lưu vậy ạ? Với bằng toeic 2 kỹ năng thì mình chỉ nhập điểm phần nghe với đọc thôi còn 2 cái khác để trống ạ? Và số hiệu chứng chỉ toeic mình xem ở đâu vậy?'],"['Thích, 1']",[],27253,"Thứ Hai, 4 Tháng 3, 2024 lúc 17:30"
['Pass sách đây ạ'],"['Thích, 1']",[],27849,"Thứ Hai, 4 Tháng 3, 2024 lúc 17:30"
['Ai có sách này không ạ'],[],[],28490,"Chủ Nhật, 3 Tháng 3, 2024 lúc 17:11"
['Mình cần tìm slide tmđt thầy Pháp ạ. Bạn nào có ib mình với'],"['Thích, 2']","['Ké ạ :>', '4', 'Hoài Phương em ké nữa c Phương', 'Cẩm Nhung hic k có để ké đâu elm nạ', 'Dzạ thầy hong đăng', 'Trần Thị Quỳnh Nhi thầy k đăng thì mẹ đăng đi :_)) cho con ké dới', 'Hoài Phương mẹ học thầy khác', 'ib mình gửi nha']",30005,"Thứ Sáu, 1 Tháng 3, 2024 lúc 17:00",8
['Góc pass sách :\n1. Pre ielts 1&2 : 10K\n2. Quản trị học (sách+ slide + đề ôn) : 15K\n3. Kinh tế chính trị Mác Lênin : 5K\n4. Marketing căn bản (sách+ slide + đề ôn) : 15K\n5. Kinh tế vi mô (sách+ slide + đề ôn) : 20K\n6. Kinh tế vĩ mô (slide) : 5K\n7. Quản trị quan hệ khách hàng (slide + đề ôn) : 10K\n8. Chủ nghĩa xã hội khoa học (slide + bài giảng + đề ôn) : 10K\n9. Nguyên lý cơ bản của chủ nghĩa Mác Lênin : 5K\n10. Thống kê kinh doanh và kinh tế ( giáo trình + đề ôn + vở giải đề ) : 25K\nMột số giáo trình chuyên ngành DU LỊCH :\n1. Chiến lược kinh doanh du lịch và khách sạn (giáo trình + đề ôn) : 15K  \n2. Hệ thống thông tin quản lý (slide + đề ôn trắc nghiệm) : 10K \n3. Lãnh đạo nhóm trong doanh nghiệp Du lịch và khách sạn(giáo trình + đề ôn) : 15K         \n4. Quản trị sự kiện và lễ hội (giáo trình) : 10K         \n5. Quản trị nguồn nhân lực du lịch (đề ôn ) : 5K\n6. Thiết kế và điều hành chương trình du lịch (đề ôn ) : 5K\n7. Địa lý du lịch (Giáo trình) :10K\n8. Marketing dịch vụ (giáo trình + đề ôn) : 20K\n9. Nguyên lý kế toán ( Giáo trình ) : 15K\n10. Pháp luật trong du lịch (giáo trình) : 15K\n11. Thủ tục hành chính trong tổ chức tour (giáo trình) : 15K\n12. Văn hóa Việt Nam (giáo trình + đề ôn) : 10K\n13. Quản trị kinh doanh lữ hành  (giáo trình) : 15K\n14. Ứng dụng phần mềm trong khách sạn (slide) : 5K\nƯu tiên các bạn ghé trọ mình lấy ạ'],[],[],30847,"Thứ Sáu, 1 Tháng 3, 2024 lúc 10:07"
['Mình pass\n1. Giáo trình + slide triết\n2. Slide thị trường và các định chế tài chính (có cả tiếng anh và tiếng việt)\n3. Slide hành vi tổ chức (tiếng anh)\nMn để lại . mình ib ạ.'],"['Tất cả, 2', 'Thích, 1', 'Yêu thích, 1']",[],31457,"Thứ Năm, 29 Tháng 2, 2024 lúc 21:37"
['Mình tốt nghiệp khoá 42k nhưng làm mất bảng điểm chỉ còn bằng tốt nghiệp. Vậy giờ mình xin lại bảng điểm thì có được không và thủ tục như thế nào vậy ạ? Cảm ơn mọi người'],"['Thích, 2']",[],31788,"Thứ Năm, 29 Tháng 2, 2024 lúc 12:30"
"['Em cần tìm sách, slide và tài liệu ôn tập của những môn này. Ai có pass cho e với ạ']","['Thích, 1']","['Mình có thị trường', 'mình có ktct nha', 'Hương Giang ib mình với', 'Mình có slide và bài giảng thị trg nha', 'mìmh có ttdc']",32060,"Thứ Năm, 29 Tháng 2, 2024 lúc 10:40",5
"['pass tài liệu như hình\ncó pass tài liệu đề ôn các môn khác đồng giá 10k\nquẹo lựa !!!! ', '+2']",[],[],33166,"Thứ Tư, 28 Tháng 2, 2024 lúc 15:06"
"['E cần tìm slide luật kinh doanh cô Hằng ạ, bản cứng hay mềm đều dc ạ']","['Tất cả, 2', 'Thích, 1', 'Haha, 1']","['Uyên Nhi bé này thấy hay cười mình ghê, chắc thích mình gòi', 'Hạnh Nhii thấy đi đâu cũng thả nhẹ 1 cmt hết', 'Uyên Nhi nhi hắn bị rảnh đó']",33970,"Thứ Ba, 27 Tháng 2, 2024 lúc 22:06",3
['góc tìm đồ\nhqua t2 phòng c204 có ai nhặt đc son merzi thì ib e với ạ'],[],[],34647,"Thứ Ba, 27 Tháng 2, 2024 lúc 22:06"
['Mình cần tìm quyển sách này ạ'],[],[],35526,"Thứ Ba, 27 Tháng 2, 2024 lúc 13:45"
['Mình cần những môn này ạ'],[],[],36309,"Thứ Ba, 27 Tháng 2, 2024 lúc 13:08"
['Em cần tìm slide vi mô tiếng anh cô Ngân Hà  ạ. Anh chị nào có ib e với ạ. E cảm ơn.'],[],[],37196,"Thứ Ba, 27 Tháng 2, 2024 lúc 13:08"
['Em cần sách+slide(có file ôn tập thì cho em xin ạ) của các môn này ạ. Ai có thì inbox em ạ'],"['Thích, 1']","['c có gt vĩ mô', 'mình có slide vĩ mô', 'Xuân Nữ còn hông pass mình với b', 'Lê Huy giá 10 trịu, ib để thương lượng', 'Mk có lkd ạ', 'a có nè em ib nha', 'Trần Nhật Sinh vậy a vào check ib em nhé =)))', 'C có gt kinh tế vĩ mô', 'mình có gtr và slide vĩ mô', 'Sao học mà đến h mới mua gtr em', '2', 'Nhàn Thanh Phạm hoi đừng nói em ngại', 'Hà Sara c cũng v á mà c hỏng ngại kệ đi nhiều ng còn ấy hơn mà em', 'mình còn luật kd', 'Mình có vĩ mô ạ', 'Mk có triết']",37550,"Thứ Hai, 26 Tháng 2, 2024 lúc 21:53",16
"['Pass sách', '+6']","['Thích, 3']","['Tớ thi xongg pass fx580. Cần nhắn tin cho mình.b dv bd ew r f r', 'Ib ạ', 'Ib ạ']",38454,"Thứ Hai, 26 Tháng 2, 2024 lúc 21:11",3
['e cần tìm giao tiếp trong kinh doanh ạ'],[],[],39296,"Thứ Hai, 26 Tháng 2, 2024 lúc 21:11"
"['Dạ em đang cần tìm nơi để học Tiếng anh bằng B1 gần trường (em bị mất gốc) , có ai biết nơi nào uy tín thì chỉ cho em với ạ, em đang tìm gấp. Em cảm ơn ạ.']","['Thích, 19']","['Cô Van Anh Le đang ghi danh lớp toeic nha, bạn qt thì ib cô để có thêm thông tin nè', 'Em tham khảo nhé', 'Mình hỗ trợ đầu ra xét tn cần ib mình hỗ trợ.t4 có chứng chỉ', 'Bạn tìm hiểu thầy Mr. Bean xem; mình cũng là đứa mất gốc; học vs thầy, thi đạt ngay lần đầu, nhẹ cả người', 'Chào em nhé, nếu mình mất gốc thì trước tiên phải học lại gốc, xây dựng nền tảng vững chắc trước khi ôn luyện kĩ năng B1 nha, chị có lớp gần trường mình tại 137 Đỗ Bá, e có thể tham khảo xem có ok với mình ko nhé, ib c tt cho nha', 'B1 thì học thầy Bean cũng oke nè b', 'em nhắn anh hổ trợ nhé', 'Em check tin nhắn chị hỗ trợ nha\\', 'Nhắn chị hỗ trợ cho nhé', 'Ib cô', 'thầy Tiến Chung bạn nè, thầy dạy có tâm, nhiệt tình mà học phí giá hạt dẻ.', 'bạn tìm hiểu bên này thử xem.\ndạy cả TOEIC và B1 B2 VSTEP\ncác bạn sinh viên KINH TẾ thì có thể học ở cơ sở 1 (149 Phan Đăng Lưu) (đi qua cầu Tuyên Sơn) hoặc cơ sở 2 (152/1B Phan Thanh – gần BV Hoàn Mỹ, ĐH Duy Tân cs Phan Thanh) (đi qua cầu Rồng).\nKhoảng cách từ cổng trường ĐH Kinh tế sang cs1 và cs2 là ngang nhau, chỉ tầm hơn 4km, cũng không phải là quá xa, lại có dịp sang bên trung tâm chơi luôn nhé', 'Các bạn sinh viên ĐH Kinh tế có thể xem thêm video sau đây để hiểu về thêm về English Mr. Bean', 'bạn tìm hiểu chỗ thầy Mr. Bean thử xem nhé.\nDạy cả B1 đó. Kiến thức dạy lại từ căn bản từ đầu', 'Rcm Mr Bean nha bạn, học phí hssv mà dạy ok lắm nè', 'Mr Bean nè bạn', 'Lúc trước mình học Mr Bean thấy ok nè bạn, tài liệu nhiều, có dạy từ căn bản cho mấy bạn mất gốc nữa, giá thì hssv', 'Mất gốc thì học thầy Bean ổn á', 'Bên thầy Bean có dạy lại từ đầu kìa cậu', 'thử tham khảo bên Mr. Bean xem, ở đây dạy lại căn bản từ đầu luôn đó, mất gốc cũng không phải lo nhé', 'thử tham khảo bên thầy Bean xem nha', 'Thầy Bean dạy từ đầu đó bạn. Đi học thử xem có hợp hay không.']",39507,"Thứ Hai, 26 Tháng 2, 2024 lúc 21:11",22
['E cần tìm slide + bài tập môn Thị trường và các định chế tài chính cô Vân ạ'],[],[],40176,"Thứ Hai, 26 Tháng 2, 2024 lúc 17:54"
['Em cần tìm luật kinh doanh ah'],[],[],40571,"Thứ Hai, 26 Tháng 2, 2024 lúc 17:54"
['E cần mua sách + slide + tài liệu ôn\n- Thị trường và các định chế tài chính - cô Vân\n- Giao tiếp trong kinh doanh - Cô phương\n- Nhập môn kế toán - cô Huyền\n- Triết - Cô Thanh'],[],[],40988,"Thứ Hai, 26 Tháng 2, 2024 lúc 17:54"
"['Gần trường mình có trọ hay căn hộ nào có thể đi bộ được kh ạ, giới thiệu em với']","['Thích, 2']","['Ng Thi Hong My', 'Lê Võ Kiều Trang chỗ t đi bộ lên là hết kì luôn á', 'Ng Thi Hong My xíu chứ nhiêu', 'Lê Võ Kiều Trang']",41508,"Thứ Hai, 26 Tháng 2, 2024 lúc 12:47",4
"['Em muốn tìm tt IELTS, em ở khoảng 5.0 và muốn học lên 7.5. Xin mọi người review cho em một vài các trung tâm dạy ielts uy tín, học phí ổn, giáo viên bằng cấp rõ ràng.']","['Thích, 4']","['Em nhắn chị chia sẻ tt cho mình tham khảo nhé', 'Thầy Khánh Vương']",41706,"Thứ Hai, 26 Tháng 2, 2024 lúc 10:20",2
