text,label,Post_ID
hôm qua đá ra mà h lên cfs luôn,Neutral,4
m tag z họ tưởng t rớt,Negative,4
chắc khom đao vui thật,Negative,4
tag chị em dô lượm kìa,Neutral,4
em có thấy chị thảo hiền ghé trường tối qua phải chăng là,Neutral,4
hqua thấy mà tính mang về cho mấy ce đó chớ,Postive,4
đã thấy chị em nhà họ tag nhau mà k tag tôi,Negative,4
rau câu,Neutral,4
kêu linh thư lên nhặt lại dùm cái dị quá,Negative,4
ủa cái đó cuae b mà,Neutral,4
t có sài cái này bao h đâu,Postive,4
tại có ấy đâu mà xài,Negative,4
chúng ta như nhau,Neutral,4
nhớ bữa sáng định mệnh đó,Neutral,4
nãy cười dữ quá rớt đây chi nữa,Postive,4
mà,Neutral,4
haha mỹ nhật,Postive,4
đã lộ rồi mà k lo giữ là răng rứa lê minh hè rớt hoài luôn á,Negative,4
ra nhận hàng m,Neutral,4
của mi t đà dán dú đây vẫn đủ,Neutral,4
hen la day khg mg,Negative,4
hahahh sazzz,Postive,4
chi hay rứa con,Postive,4
rớt quài z má,Negative,4
zu ziên,Negative,4
kẻ hay làm rớt chắc chắn là mày su tran,Negative,4
của em kìa vui thật,Neutral,4
dị quá hai ơi lên lụm đi hai,Negative,4
ủa nó ở đó lâu vậy cơ à,Neutral,4
chứ chi rớt tùm lum ri b,Negative,4
chi z của ms à,Neutral,4
hồi chiều t mới chỉ mđ,Neutral,4
to rứa hả,Neutral,4
hồi trưa đi học võ thị thùy dương kêu của hoai thu đó m,Neutral,4
hong phải võ thị thùy dương kêu của võ thị thùy dương đó vui thật,Postive,4
bắt em phải nói là của mỹ nhật,Neutral,4
khonggg mỹ nhật nói của mỹ nhật,Neutral,4
không phải của võ thị thùy dương mỹ nhật hoai thu vậy của ai của nguyễn khiêm,Neutral,4
người sài chung mà chừ rớt đi đổ thừa tui,Negative,4
rớt đây nè bà làm tìm chiều chừ,Negative,4
nhỏ quá ko sài loại này được,Negative,4
xin lỗi mn nhiều là thằng bạn e lê văn toại làm rơi ai nhặt đc thì cho thằng bạn em xin lại ạ,Negative,4
bố thằng ngáo này lo học hành cho qua môn đi em,Negative,4
tầm ni học bổng rồi em ơi,Neutral,4
giá đến triệu iphone series từ triệu iphone series từ triệu iphone series từ triệu iphone series từ triệu iphone series từ triệu đủ bộ từ iphone đến mua ngay c h ỉ f p t s h o p m ớ i c ó bảo hành năm 𝓚𝓱𝓸̂𝓷𝓰 𝓵𝓸 𝓻𝓸̛́𝓽 𝓰𝓲𝓪́ ____ fptshop fptshopstory,Neutral,4
miếng dán mụng,Neutral,4
của m à,Neutral,4
mụn của t to hơn,Neutral,4
này cỡ mụn cóc mụn trâu vui thật,Postive,4
ai gớt thì qua sốp mình tặng cho cái quần nè,Neutral,4
nhi phải con đâu buồn thật,Negative,4
ai dạy ad thế,Negative,5
đúng rồi chứ gì nữa trong code c thì phép chia lấy số nguyên còn phép chia lấy số dư,Neutral,5
mồng tháng ra thăm vườn chọn cành hoa xinh tươi tặng cô giáo,Neutral,5
ui xịn thía,Postive,6
bẹc rê ngày ni ns đúng,Neutral,6
qúa là tuỵtt,Postive,6
còn thoai aáaaaa kịp kịp kịp apply,Postive,6
tgia dc cơ cấu ko ní,Neutral,6
đc em ơi cơ cấu cho mí anh đẹp dai luôn ý chứ,Postive,6
tin chuẩn chưa để đi đồn,Neutral,6
không chuẩn sao mà được,Negative,6
cố lên bạn,Postive,7
Ừm,Neutral,7
là sao,Neutral,7
hong hiểu,Negative,7
là z đó,Neutral,7
quá hạn nộp thì ko nộp để pass đc nữa bạn,Neutral,8
nếu bằng đó đủ đk đầu ra thì ko cần nộp lại đâu,Neutral,8
có cơ hội thì chúng ta có thể gặp nhau ở trung tâm ngoại ngữ big step nha,Neutral,8
tham khảo thử bên tphub á bé,Neutral,8
mình cx ko rõ mà theo mình nghĩ là có,Neutral,8
không học quá tổng số tín tối thiểu phải học là được,Neutral,8
ko bị nha chỉ tính học phần bị điểm f thôi á,Neutral,8
theo mình biết thì mình nộp ít tiền hp hơn chứ ko phải nhận tiền á,Neutral,8
nha tuần này mới học là có nhóm zalo nào học mấy h thầy thông báo vui thật,Neutral,8
ai có ib em với ạ,Neutral,8
xét từ trên xuống dưới theo thứ tự xuất sắc giỏi khá ai gpa cao hơn thì đc ưu tiên hơn trong cùng mức hb á,Neutral,8
theo mình biết thì hè hiếm khi có lớp plđc lắm bạn có thể đăng kí học cải thiện môn này ở học kì i ii cx đc á,Neutral,8
cho em hỏi phòng ctsv làm việc với sinh viên ngày thứ mấy ạ,Neutral,8
các bạn cho mình xin review thi toeic online trên máy tại trường zới đc hum aạa,Neutral,8
dạ cho em hỏi ạ em có bằng pass tiếng anh mà đã vô học được vài buổi rồi thế có nộp để pass được không ạ em cảm ơn ạ,Neutral,8
em sinh viên năm đã nộp pass học phần ta vào năm thì có cần nộp lại chứng chỉ ta để pass đầu ra trường không ạ,Neutral,8
chào các ac ạ em là và hiện tại em muốn bắt đầu học ielts kiến thức nền của em cũng tạm ổn các ac có thể giới thiệu cho em thầy cô nào dạy chất lượng online hoặc offline hay trung tâm nào ok không ạ,Neutral,8
dạ mọi người ơi cho e hỏi học cải thiện có bị hạ bằng không ạ,Neutral,8
dạ mn cho em hỏi mình thuộc diện được giảm học phí có người nhà bị tnlđ chứ không phải hộ nghèo hộ cận nghèo mồ côi thì mình sẽ được nhận tiền theo mỗi kỳ đúng không ạ mình có cần nộp lại các giấy tờ liên quan nào không ạ em cảm ơn ạ,Neutral,8
thấy dự án shopee apprentice program vietnam nên apply thử nhưng mà cái tên trường mình ko tìm thấy trong list của shopee ai thử đk rồi thì cho hỏi cách chọn với hắn còn ko cho đánh tên mà phải chọn trong list,Neutral,8
cho mình xin bạn tóc xanh mullet quân sự lớp đại đội vứi aạa nhìn bạn ngầu vai dan,Postive,8
mình là đang học thực hành quân sự đợt mình nhờ cfs và mọi người giúp mình tìm infor bạn nữ chân ngắn hát bài vành khuyên nhỏ vào tối giao luu văn nghệ của đại đội với ạ mình nể cột hơi của bạn cực rap nghe cute hết sức,Postive,8
chào mọi người mình là vừa học xong quân sự phần thực hành qua tuần đi học mình ấn tượng rằng due có nhiều bạn nữ xinh thật nhưng gây ấn tượng nhất cho mình có lẽ là bạn nữ bí ẩn diện bộ đồ đen hát rap bài vành khuyên nhỏ vào buổi tối giao lưu văn nghệ của đại đội thấy bạn có vẻ ngại ngại mà lên nhạc là bạn nhún nhảy nhìn cute lắm hát xong bài là bạn với các bạn khác kéo nhau đi mất để lại mình còn ngẩn ngơ đến bước đường cùng mình lên đây nhờ cfs và mọi người giúp mình tìm infor của bạn ấy nếu may mắn cfs của mình được đăng lên và bạn thấy cfs thì hãy thả phẫn nộ nhé,Postive,8
mình cần tìm infor bạn nam ở đại đội hoặc vừa học xong phần thực hành quân sự của đây hôm trước mình đi xuống cầu thang gặp bạn đang hát bài trái đất ôm mặt trời thì mình có ham vui hát chêm vào mà bạn cũng để cho mình hát chung lun mình cực kì ấn tượng với giọng hát của bạn và tha thiết muốn tìm infor của bạn,Postive,8
cho em hỏi có anh chị nào theo ngành digital marketing ko ạ em muốn hỏi kỳ sẽ có bao nhiêu tín chỉ ạ chương trình ta của ngành đó có khó không và sẵn đây cho em hỏi anh chị trường cótor chức thi đgnl không ạ và thời gian thi diễn ra khi nào và ở đâu ạ em vẫn ở đây để chờ câu trl của anh chị em xin cả ơn nhiều ạ,Neutral,8
có bạn nào học lớp cầu lông không cho mình hỏi là mấy giờ vào học zị đầu kì giờ thầy cho nghỉ miết giờ không biết học mấy giờ,Negative,8
em muốn tìm tài liệu luật kinh doanh các văn bản luật lịch sử đảng,Neutral,8
ac nào cho e xin tí rv về ngành kinh tế với ạ chuyên ngành nào cx đc ạa,Neutral,8
chào các ac ạ em hiện tại đang bắt đầu chập chững công tác viết cv và lấy nhiều chứng chỉ các thứ em đang muốn tìm người thầy hoặc người dẫn dắt để giúp em trong quá trình làm cv các thứ ạ ac nào có kinh nghiệm có thể giới thiệu giúp em được không ạ,Neutral,8
cho em hỏi là học bổng kkht của trường mình xét như nào vậy ạ tại em đọc trong danh sách học bổng kkht năm ngoái thấy nhiều loại học bổng khác nhau em cảm ơn nhiều,Neutral,8
anhchị đi trước cho em hỏi em muốn học cải thiện môn pháp luật đại cương thì kỳ hè tới em đăng kí nhưng mà lỡ như lớp không đủ sinh viên bị trường hủy lớp mà em lại không thể tìm đủ nhiều các bạn sinh viên muốn học cải thiện giống em thì em phải làm sao ạ,Neutral,8
làm éo có ny để tặng,Negative,9
hề ghê bây,Postive,9
ế bền vững nó thế,Negative,9
đừng chọc bạn,Negative,9
m nữa m cũng đâu có quà chi,Negative,9
kiếm ny đi ròi mua giùm e,Neutral,9
kiếm hộ anh cái,Negative,9
em kiếm roài anh mua cho em chục bó he,Postive,9
kiếm được rồi nói chuyện,Negative,9
hãy đợi đấy vui thật,Postive,9
anh đang lót dép ngồi hóng,Neutral,9
đợi đấy em xách ny qua cho anh bó hoa,Neutral,9
tặng em đỡ cũng được,Postive,9
chê ạ,Negative,9
anh em ruột rà cũng chỉ đến thế,Negative,9
nghèo em,Negative,9
sốp có nhận ghép bàn cho ai đi mụt mình khum ạ,Neutral,9
nói ny dẫn qua quán ăn lễ nè,Postive,9
mấy tình iu ơi mua hoa đi nahhh mua hoa tặng ngy nahhhh,Postive,9
mua ủng hộ anh cho ty nồng cháy kìa,Postive,9
quá trời rồi,Negative,9
hộp xịn d shop,Postive,9
hộp này tặng ngiu siu hợp luôn sốp,Postive,9
giàu chứ không khá nổi shop,Neutral,9
có đâu đủ miếng cơm manh áo qua ngày thôi buồn thật,Negative,9
ai biểu có ny chi chia tay đi vui thật,Negative,9
bước phát người yêu i,Neutral,9
hic có anh đây rồi em mua tặng anh đi,Postive,9
rao bán mọi mặt trận,Neutral,9
ren chưa thấy tặng em z anh,Negative,9
hic chắc anh thiếu mất nhiều quá ấy mà vui thật,Postive,9
anhhh anh quên em hỏ,Negative,9
ghê v sao,Negative,9
mua hoa chị ơi,Neutral,9
anh k mua tặng chị thì thôi chứ anh lại kêu chị mua hoa,Negative,9
lẹ z em,Postive,9
chài ai nó xink xiũuu,Negative,9
dưỡng thê vậy chòi nguyễn lê nhật huyền,Postive,9
chị ni là ai v toi kh quen,Negative,9
số hóa quào ad ni tranh thủ quá,Negative,9
mua tặng người iu đi,Postive,9
ok,Postive,9
phải nói là siu xinhh,Postive,9
kh có ny thì sao ạ,Neutral,9
e nguyện làm người phụ nữ của a,Postive,9
saler ni năng suất đếy,Postive,9
ơ kìa hoa đây chứ đâuu,Postive,9
hàng trực tuyến shopee việt nam,Neutral,9
ok chị,Postive,9
oke,Neutral,9
mún mua người bán đc khum,Neutral,9
đã chuẩn bị sẵn quà hehe,Postive,9
sang trọng tặng mẹ dì nè,Postive,9
tôi đã khóc khi ad nhắc đến ngày,Negative,9
sao lên đh m lại như này ròi,Negative,9
mua ủng hộ đi ạ,Neutral,9
xinh quá set đó bn vậy shop,Postive,9
mình nhaaa,Postive,9
tặng mẹ trước đi,Postive,9
lớn rồi đó,Neutral,9
võ ý thơ bạn thấy tu nói đúng không,Neutral,9
giải cứu kìa,Neutral,9
đẹp giá cả phải chăng,Postive,9
thích party khong anh làm cho,Neutral,9
coóooooooo,Postive,9
để anh làm party tỏ tình,Postive,9
okeeee anh,Postive,9
elm chờ anhhhh đó gửi quà hanoi cho em đi,Postive,9
nếu chưa biết mua gì thì mua dụng cụ học tập của nhà writeera đi nè hứa hẹn là một món quà tặng fean độc đáo nhưng cũng không kém phần thực tế lẫn kinh tế quá phù hợp cho sinh viên không chỉ là một món quà mà còn là lời hứa hẹn tương lai cho những người muốn xây dựng một gia đình tiên tiến kiểu mẫu hạnh phúc tri thức,Neutral,9
nè he quá trời rồi nghe gái kkkk,Postive,9
tận dụng hoi vui thật,Postive,9
chỉ từ cho bó bông,Neutral,9
mua đi t,Neutral,9
tặng em cái kẹp nà cái kẹp nà,Postive,9
hong ai tặng em tự tặng mình vui thật,Postive,9
em mua ở đâu áa,Neutral,9
tạp hóa bé coming,Neutral,9
bà ib tui đii,Neutral,9
cả nhà inbox heaven cake đặt set quà đii,Neutral,9
ở đây có bông hoa đủ loại cho các anh tặng mẹ bạn ngiu nhaaa trần thị hiền,Neutral,9
xin mời bạn iu ghé quầy lựa thuộc clb cres nhe đảm bảo ngừ iu mê,Neutral,9
ngũ hành sơn quà đang sale đó ạ,Neutral,9
hoa xinh nha mấy bà bà ni bán hoa đẹp mà rẻ lắm,Neutral,9
nè em khỏi củm ơn,Neutral,9
quá tuyệt babii,Postive,9
siêu phẩm quà tặng,Neutral,9
chấm,Neutral,9
mua điii,Neutral,9
vào tt cmt cho sốp nào,Neutral,9
tui nhận được hàng gùi xinh lắm nhiee,Postive,9
mình có mẫu hoa kẽm nhung hoa giấy handmade hoa nhũ nhiều mẫu đa dạng chỉ từ bạn nào cần thì ib mình nha cảm ơn các b,Neutral,9
hông ấy chủ shop giả đò thích mình tặng mình cái đi,Postive,9
ui tớ thẳng cậu ơi c chơi mình đi,Postive,9
xem thêm bình luận,Neutral,9
khum có ny nhưng có cả đàn em nè anh,Postive,9
dắt ny ra ăn bạn có ưu đãi nhé bạn,Postive,9
ra sốp phát ny luôn nhé,Postive,9
mua quà tặng cho bạn gái liền nha các bạn trai ơii,Postive,9
mà tặng văn phòng phẩm là thành cặp đôi học bổng đoáaa ghé nhà chuối lựa quà thôi ạ,Postive,9
ghé shop mua body mist đi aạa,Postive,9
mua gấp mua lẹ,Neutral,9
ui t hong có ny nơi đang fa vui thật,Postive,9
có ở đn hong ib tui ship trong ngày rốp rẻn rốp rẻn,Neutral,9
mua buộc tóc đi buộc cuộc tình chúng mình,Postive,9
tinh tế kinh tế thực tế,Neutral,9
set vừa hoa vừa body mist giá yêu thương chỉ là một món quà tuyệt vời nhất gồi ạ,Postive,9
quẹo lựa vòng xốp tui nek xốp đang có chương trình sale với mọi sản phẩm luôn ạk,Postive,9
vào trang shop để mua tặng ngừ eo bà mẹ nào,Postive,9
này có để bản gốc cũng hiểu ngang vui thật,Postive,10
anh chờ ê,Postive,11
vát bôn,Neutral,11
chê nha,Negative,11
ch xg dl vui thật,Postive,11
dô được ròi omg,Postive,12
hết hồn,Negative,12
rén liền,Negative,12
you làm tui hú hồn,Negative,12
tưởng mình toi bị,Negative,12
có cái để lướt r,Postive,12
bận lướt tiktok,Negative,12
haha,Postive,12
thanh niên ngây thơ,Negative,12
trôn,Negative,12
trôn việt nam,Negative,12
tưởng bị leak tn,Negative,12
hú hồn,Negative,12
mé tưởng bị hack nick cơ vui thật,Negative,12
hú hồn hỉ,Negative,12
tưởng cả nhà bị hack lần ngọc oanh hâhhaa,Postive,12
thấy mà yêu đời ghê,Postive,13
nãy ai bị out face ko nhỉ,Neutral,13
thô nhưng thật,Negative,13
thiệt không êm,Neutral,13
tàn hơn này nữa,Negative,13
hiền quá vậy bạn cãi lộn tay đôi luôn chớ chi mô mà cần đòi nợ thuê nói mình vui thật,Negative,14
bạn tui bữa ni chuyển nghề học kinh tế ra chỉ để đòi nợ thuê,Negative,14
chưa đọc hết nhma bcuoi vl văn chương lũng đoạn lũng đoạn chỉ hành động chi phối thao túng giành quyền kiểm soát còn văn chương thì phải lủng củng nhé ạ vui thật,Negative,14
đang tính cmt giống bạn mà lướt thì thấy r,Neutral,14
thích hợp cho kim hà apply,Neutral,14
dẹp luôn cái tt,Negative,14
phốt chỗ đó đi bạn chứ để vậy họ không biết sợ đâu với lại tiền công ngày lận mà họ cũng đâu quy định từ đầu là làm dưới mấy ngày là không được nhận lương đâu,Negative,14
năm cũng muốn đi lại,Neutral,15
đi để thư giãn sau những ngày học tập mệt mỏi,Negative,15
và để thoải mái bản thân,Postive,15
đi qsu sau chiều là thấy zui liền,Postive,15
skip từ sáng tới chìu là qsu bao vui,Postive,15
đến chiều để gặp a quang anh vui thật,Postive,15
nói chi làm t lụy thêm lên để gặp thực dân pháp nx vui thật,Postive,15
muốn bắt grap vô học lại ghê,Postive,15
tui hiểu mòo,Postive,15
phải là bắt xe đi về à,Neutral,15
giờ mình bắt xe đi vô lại i,Neutral,15
đi quân sự được tuần may mà còn có cái event cứu vớt lại huhu,Negative,15
ai nói đi chơi vậy nói nhỏ chứ thầy nghe vui thật,Neutral,15
toi cũng muốn đi laịiii,Neutral,15
ra trường cũng muốn đi laịiiiiii,Neutral,15
lụy qsu quá quỳnh phạm,Postive,15
lụy qsu quaa,Postive,15
ước năm rồi,Neutral,15
đi quân sự mà không khác gì đi nghỉ dưỡng đinh đinh analy ân nguyễn,Postive,15
thiệt ê mún đi n lần,Negative,15
chắc chắn là chị rồi,Neutral,15
ủa kh phải,Neutral,15
giống quá z,Neutral,15
m viết phải k,Neutral,15
có đứa nghĩ giống mình nè,Neutral,15
ko mấy mình lập hội đi lại đi chị nhìn ham quá rồi,Neutral,15
chắc chị viết rùi,Neutral,15
nhường slot học ạ,Neutral,15
vui mò,Postive,15
học giùm luôm đi,Neutral,15
cho học cùng các bạn tiếp thì học,Neutral,15
nín dùm,Negative,15
thích rk chê j nữa,Postive,15
thích chỗ nào,Neutral,15
bị thu dt pùn quá bai túi quýnh ma sói nhớ rủ,Negative,15
ta là dân làng thiệt mà,Neutral,15
nỏ ai tin đêm đầu bị tiễn đi r,Negative,15
biết lụy òi méc chi ghi cfs z,Negative,15
ghi cho ngừi ta biết mình cũng mún đi qsu lại,Neutral,15
thôi xin người cho toai dìa điiii,Negative,15
tận hưởng đi chứ,Postive,15
xin thầy bộ bài,Neutral,15
thuii thuii hông dám,Negative,15
zui,Postive,15
m viết đúng k,Neutral,15
xin nhỉ,Neutral,15
quá khứ tươi đẹp của chúng ta,Postive,15
nghe nói a anh thư cũng lụy quân sự mà buổi tối thôi đúng ko,Neutral,15
ý là cũng zui nhma đi ngủ hơi rén,Postive,15
cho có kỉ niệm,Neutral,15
thật ko z vui thật,Neutral,15
ai trả tiền cho ổng khen z,Negative,15
thấy chx có người cx giống vs t nè,Neutral,15
mđ bay viết bài pk,Neutral,15
ee hè ni đi chuyến nữa được khum,Neutral,15
có vậy k,Neutral,15
tui đâu đi quân sự tui đi quảng nam nghỉ dưỡng mà ͡ ͜ʖ ͡,Postive,15
thấy chưa nhìu ng cũng mún như t z,Neutral,15
toi cũng muốn mà nghĩ ra nhiều trò báo hơn nữa rồi mà không đc đi lại,Negative,15
hứa đi lại sẽ báo hơn nữa,Neutral,15
để tôi vs chị,Neutral,15
tôi cũm mún quá mệc mõi vs dl r,Negative,15
zô đi tưới nước cho đỡ rảnh,Negative,15
ời chớ ở ko cũm nhàn,Neutral,15
sơ hở là bị bắt,Negative,15
kiểu lắp cam sau lưng hay răn làm chi cũm bit,Negative,15
hóng drama xì khoíi vui thật,Postive,15
bữa chê chê dừ có nhớ không nở,Neutral,15
nộp tiền đi tiếp thoai,Neutral,15
bame bt bame bùn á iêm,Negative,15
chị này có ước khumm,Neutral,15
được đi lại để về ạ vui thật,Neutral,15
mún đi qsu típ,Neutral,15
cảm nhận,Neutral,15
viết bài này k á nguyễn phan thảo phương,Neutral,15
ánh liễu có cách mô để được học lại quan sự k,Neutral,15
cho em vé hồi quá khứ,Negative,15
vui khi ở trong phòng or ik ăn vặt thôi,Neutral,15
chiều mặc cái quần để vô hc ké đó ko biết à,Neutral,15
xong lại đc lên hot search,Neutral,16
r chắc ổng đọc cfs ni hok bíc bà đâu vui thật,Neutral,16
có hay vậy k,Neutral,16
k nha,Neutral,16
e hỏi a hà phước thịnh ni nè e a ni kinh nghiệm,Neutral,16
nghỉ học đi c,Negative,16
nta bảo tình cũ ko rủ cx tới nhưng nay ko hẳn là tình cũ mà nhỉ,Neutral,16
nhớ bữa stalk tới đoạn thả icon tớ sẽ nói những gì về cậu cái nhấn like,Postive,16
thôi duyên đến thì mình cứ tới thôi bạn hèn vứt cái bụp là nó hết hà buồn thật,Negative,16
hay đi stalk và cái kết vui thật,Neutral,16
học rút ra đi stalk thì cầm đt cho chắc tay,Neutral,16
lỡ ấn nhầm thoi mà ngta reply giờ sao cháp gỉl,Negative,16
cẩn thận đó,Negative,16
có đâu mà cẩn thận nè,Neutral,16
tín hiệu dzũ trụ vui thật,Neutral,16
biết rút kinh nghiệm chưa,Negative,16
rút kịp kh,Neutral,16
thu hồi nma k hiệu quả,Postive,16
thu chi rồi cũng zậy mà,Neutral,16
tốt nhất là người dùng hiện tại k có mặt trên fb vui thật,Neutral,16
máy lag r hạn chế stalk cả quê h nghe e,Negative,16
không có stalk ai lun trời ơi xóa hết rầu,Negative,16
stalk hạn chế run tay nghe b,Negative,16
tui stalk làm chi họ buýt đc,Neutral,16
ghê sư phụ có khác,Postive,16
cứu bạn,Negative,16
hết cíu đc òi kkk,Negative,16
đứa nào khai mau,Negative,16
chắc tui đó bà,Neutral,16
bài học rút ra là k nên mua oppo,Negative,16
stalk ngta đừng run tay nha vui thật,Postive,16
hong dám stalk nựa,Negative,16
đăng lên z lát cha nụi đó dô cho bí quyết đó vui thật,Postive,16
ông toe bà nguyệt lấy dây cột trâu thắt bạn lại dod,Negative,16
vote nghỉ học,Neutral,16
bạn mà qua phòng là ổn rùi vừa ngăn nấp vừa văn minh vừa hòa đồng mà còn sống healthy nữa chứ,Postive,17
phòng này bị thu điện thoại vui thật,Negative,17
còn biết ngủ đúng giờ nữa,Neutral,17
cuộc sống bị thu đth có khác hì vui thật,Negative,17
đưa ý kiến lên liên hợp quốc đi bạn chắc họ sẽ nghe đấy,Neutral,17
dạ,Neutral,17
tưởng thế là ngầu đấy a,Negative,17
bữa ni thâm lắm rồi đó,Negative,17
bạn bỏ đi,Negative,17
đừng có mang cái máy thở đó lên hỉ,Neutral,17
hút ngầu mà ko cho bâi,Postive,17
người thực thi công lý không thích điều này,Negative,17
chán kinh lun á,Negative,17
mình là người văn minh,Neutral,17
kinh rứa,Negative,17
t vô đó ở ch gặp trg hợp đó,Neutral,17
bạn có hút ko đó phú quốc,Neutral,17
họ nói đúng mà em,Neutral,17
m nghe chưa minh nhật,Neutral,17
nghe rõ,Neutral,17
cho tui hỏi sao mđ nhóc học qsu ở trường zị,Neutral,17
học lí thuyết ở hội trường a còn thực hành thì đi qsu,Neutral,17
tsao é,Neutral,17
nói chứ hồi mình học zui xỉu,Neutral,17
đừng nghiện nữa,Negative,17
ề m đi về sẽ có cfs như ri dành cho m,Neutral,17
ae còn nhớ cái bát hương k vui thật,Postive,17
ch hút cái khác là may lắm rồi phúc khang,Negative,17
viết cfs như d cho xe khách đi vui thật,Neutral,17
mă xin lun í,Neutral,17
tại tìm chỗ khác hút là bị túm cái đầu liền ó,Negative,17
văn hóa due của bọn tôi đấy,Neutral,17
nói ông chứ nói ai,Neutral,17
nói điên gì đấy tui là người thực thi công lý ở due ông,Neutral,17
m coi lại đi kìa để ngta nói thế mày,Neutral,17
y sì,Neutral,17
trưởng thành quá,Postive,17
quạ khen,Postive,17
bé xin lỗi,Negative,17
biến đi em,Negative,17
bớt b,Negative,17
m vô phòng t m nói kiểu v thử xem,Negative,17
dễ đấm b hì,Negative,17
rút cái ống thở của m ra,Negative,17
thằng nào viết cho a cái tên coi nà thứ gặp ôm nó phát,Negative,17
em định tag anh để anh tìm coi thằng nào viết đấy anh à,Neutral,17
phải thương anh lắm mới viết ra được những câu như này hi,Postive,17
thế thì em không thương anh đâu,Negative,17
anh bíc em thích tia iuvi gòi,Postive,17
em cảm ơn,Neutral,17
em nghĩ giang đó anhh,Neutral,17
anh cũng nghĩ là nó viết lắm,Neutral,17
đr lỗi là của g hết nên a lâm bt thứ làm gì rồi chứ,Negative,17
hóa ra là do anh g vui thật,Postive,17
nếu mà gặp a cho phát thì em nguyện viết bài ạ,Neutral,17
a viết bài lung đi anh,Neutral,17
điều tiếc nuối nhất của anh trong đêm đi quân sự là chưa cho em thêm lỗ,Negative,17
a ko phải là ng duy nhất tiếc đâu,Postive,17
em con sao em trốn gấp đi chứ mai anh lâm lên ảnh chọc cho mấy nhát,Negative,17
ulatr ai viết chớ hong phải elm anh ơiiiiii,Neutral,17
thọng cây thuốc vô họng nó vui thật,Negative,17
một thời đã xa buồn thật,Negative,17
khongiuroi,Negative,18
buồn quá buồn mọi thứ,Negative,18
mắc cười quá tôi đã cười tét nách,Postive,18
ko,Neutral,18
iu ko nổi,Negative,18
