content,emoji,comment,current,time
[],[],[],666,
[],[],[],1418,
[],[],[],666,
[],[],[],1418,
"['[TÌNH NGUYỆN ĐÔNG MÙA GIÓ ẤM 2024] CÒN ĐỌNG LẠI GÌ SAU CHUYẾN ĐI?\n Và thế là hành trình đem hơi ấm đến xã Jơ-Ngây, huyện Đông Giang, tỉnh Quảng Nam đã chính thức khép lại với bao nhiêu xúc cảm vấn vương. Khoảng thời gian 3 ngày 2 đêm ở xã Jơ-Ngây dẫu không quá dài nhưng vẫn đủ để lại trong lòng các Tình nguyện viên thật nhiều kỉ niệm đáng nhớ và đáng trân trọng.\n Dẫu có đôi chút khó khăn, mệt nhọc nhưng chính nụ cười của người dân nơi đây cùng với ánh lửa bập bùng được thắp lên bởi Sức Trẻ Kinh Tế đã xua đi cái lạnh khắc nghiệt nơi vùng cao, khiến cho mùa đông đêm đó dường như tan biến. \n  CLB Sức Trẻ Kinh Tế xin gửi lời cảm ơn chân thành đến bà con xã Jơ-Ngây và chúc cho nơi đây luôn ngập tràn hơi ấm, cuộc sống đủ đầy hơn và nụ cười luôn trên môi các em nhỏ.\n “Mùa Gió Ấm 2024” đã khép lại nhưng những kỉ niệm tại xã Jơ-Ngây sẽ còn đọng mãi trong lòng mỗi Tình nguyện viên Sức Trẻ. Ngay lúc này đây, hãy cùng nhau nhìn lại những dấu ấn trong chuyến hành trình đong đầy yêu thương tại xã Jơ-Ngây nhé!  \n Link ảnh full HD: https://s.net.vn/uZTA\n----------------------------------------------------------------------------------\n#CLBSTKT #MGA2024 #DongLaiGiSauChuyenDi #Nấm #TeamPhoto', '+31']","['Tất cả, 181', 'Yêu thích, 116', 'Thích, 60', 'Thương thương, 4', 'Haha, 1']","['Trần Thị Thùy Dương anh này gke quớ c ơi', 'Trần Thị Thùy Dương có chứng chỉ nó phải khác', 'Nhớ quá nè', 'Truyền thông nháy ảnh xịn qu', 'Ui có ảnh r!!', 'ă mê quá chời ơi', 'Yeuuuuu', '...', '..', '.....', 'nhớ quó điiii']",12612,"Thứ Năm, 11 Tháng 1, 2024 lúc 20:13",11
"['[TÌNH NGUYỆN ĐÔNG MÙA GIÓ ẤM 2024] ĐÔI LỜI CHƯA TRAO\n Vậy là chuyến xe chuyên chở yêu thương mang biển hiệu “Mùa Gió Ấm 2024” đến xã Jơ-Ngây, huyện Đông Giang, tỉnh Quảng Nam đã hoàn thành cuộc hành trình. Chắc hẳn, các bạn còn nhớ những giây phút bên nhau, được thưởng thức những món ngon từ Sức Trẻ Chăm Sóc, cùng Sức Trẻ Sẻ Chia trao yêu thương, mang nhiệt huyết và hăng say cùng Sức Trẻ Làm đảm nhận công việc. Để có được những kỉ niệm đẹp đến thế và sự thành công của chiến dịch chính là nhờ vào sự chung tay của tất cả chúng ta.\n CLB Sức Trẻ Kinh Tế xin gửi lời cảm ơn đến BTC chiến dịch Tình nguyện đông “Mùa Gió Ấm 2024” với sự chuẩn bị dày công, không ngại khó khăn mang đến một bản đồ hành trình rộng mở, cùng các tình nguyện viên cùng góp nhặt yêu thương tạo lớp vỏ bọc bảo vệ những bong bóng xà phòng, mang tình yêu đến Jơ Ngây.\n Xin chân thành cảm ơn sự quan tâm và hỗ trợ tận tình của các mạnh thường quân đã cùng Sức Trẻ tạo nên một chiến dịch ý nghĩa và đong đầy yêu thương. \n Bên cạnh đó, CLB Sức Trẻ Kinh Tế xin được cảm ơn sự góp mặt và đồng hành của các anh chị cựu thành viên trong suốt chuyến hành trình. \n Cuối cùng, một lời cảm ơn ngọt ngào xin dành cho các tình nguyện viên đã tham gia hết mình vì chiến dịch Tình nguyện đông “Mùa Gió Ấm 2024”. Cảm ơn các bạn vì đã đến, cảm ơn các bạn vì đã đóng góp bằng cả trái tim, và cảm ơn vì chúng ta đã luôn đồng hành cùng nhau. \n Hẹn gặp lại, chúng ta sẽ cùng nhau viết nên cuốn nhật ký yêu thương một lần nữa vào một ngày không xa.\n Xin chân thành cảm ơn tất cả mọi người!\n—------------------------\n#CLBSTKT #MGA2024 #doiloichuatrao #thn #tittintit']","['Tất cả, 100', 'Yêu thích, 87', 'Thích, 13']","['Kỷ niệm khó quênnnn', 'Cảm ơn tất cả mn', 'Ai lớp diuuu', 'luỵ mga hic', '']",13848,"Thứ Ba, 9 Tháng 1, 2024 lúc 20:22",5
"['[HỖ TRỢ TRUYỀN THÔNG] \n[ECO-FUN CLUB | “THI THỬ KINH TẾ 2024” CHÍNH THỨC TRỞ LẠI]\n---------------------\n Link quản trị học: https://bom.so/thithuqthki1 \n Link kinh tế vi mô: https://bom.so/thithuvimoki1 \n Link kinh tế vĩ mô: https://bom.so/thithivixmoki1 \n---------------------\n Hướng dẫn thi thử: https://bom.so/huongdanthithuki1 \n Mật khẩu: thithukinhte\n---------------------\n Lại một kỳ học nữa trôi qua, 49K-ers có đang cảm thấy bối rối vì sự chuẩn bị mới mẻ cho những bài thi cuối kỳ đầy khó khăn đầu tiên trên giảng đường Đại học. Các bạn đã chuẩn bị đến đâu rồi ?\n Các bạn đã sẵn sàng cho kỳ thi này để đón một năm mới đầy hứng khởi?\n Những buổi ôn tập miệt mài đêm khuya với chiếc màn hình máy tính có làm bạn mệt mỏi?\n Liệu “Đũa thần” hay “Xoài thần” sẽ thành công đưa bạn sang bờ bên kia chứ?\n Những đêm dài bên những tập tài liệu dày sụ có là thử thách đầu tiên cho các bạn?\n Không sao, cái gì khó đã có ECO lo. Chương trình “Thi thử Kinh tế 2024” sẽ là một cơ hội để các bạn thử sức mình và chuẩn bị thật tốt cho kỳ thi sắp tới. Và với cấu trúc đề thi được đảm bảo, đó sẽ là bàn đạp để các bạn nắm vững kiến thức và tự tin hơn chinh chiến cho chặng đường cuối này:\n- Chương trình hoàn toàn miễn phí tham gia\n- Bao gồm 3 môn: Kinh tế vi mô, Kinh tế vĩ mô, Quản trị học\n Còn chần chừ gì nữa mà không tham gia bằng cách nhấn vào link trên liền thôi để cùng nhau bức phá điểm số cho kỳ thi cuối cùng đón một cái Tết an lành ngay thôi nào!\n---------------------------------------\n Mọi thắc mắc xin vui lòng liên hệ:\n        Fanpage: ECO-fun CLUB\n       Mail: ecofun.due@gmail.com\n       Website: https://www.ecofunclub.id.vn\n#ecofun #ecogen9\n#thithukinhte2024']","['Tất cả, 97', 'Yêu thích, 53', 'Thích, 41', 'Haha, 2', 'Thương thương, 1']","['ai đang thi QTH hônn', 'Nguyễn Thị Lan Phương Em đâyyyy =))', 'Ren hồi mình thi khum có nhở', 'Ngọc Lan giờ vô thi bù đii', 'Nguyễn Thị Lan Phương thoát kíp rồi', 'Nguyễn Quỳnh Nga', 'Thảo Nhi mong là em làm xong đóng ít tiền học lại hơn', 'Nguyễn Quỳnh Nga cbi tăng tiền học phí đó', 'Thảo Nhi vãi ò:))) tin chuẩn k chị', 'Binh Nguyen Toàn Ngọc Mai Anh Huy Trần Phước Huy Thăng Trần Nguyễn Minh Trí Vinh Võ Văn Hải', 'Vũ Hà My Ngân Lê Mai Thanh Quốc', 'Lê Kim Ngân', 'Tô Viết Chinh Lê Tấn Toàn Quốc Khánh Thang Chien vô lm mấy a zai ơi', 'Nguyễn Hữu Minh =))) có chữ mới làm được anh zai ơi', 'Lê Tấn Toàn =)) vô làm lấy kinh nghiệm lúc não k có chữ', 'Văn Hải', 'Đạt Lương làm đi cho khỏi tốn 3 chẹo', 'Đạt Lương']",14682,"Thứ Hai, 8 Tháng 1, 2024 lúc 20:03",18
[],[],[],15870,
"['[TÌNH NGUYỆN ĐÔNG MÙA GIÓ ẤM 2024] LÀN SÓNG XANH ĐỔ BỘ\n Chuyến xe chở yêu thương mang biển hiệu “Mùa Gió Ấm 2024” đến xã Jơ-Ngây, huyện Đông Giang, tỉnh Quảng Nam chỉ còn ít phút nữa là xuất phát. Quý hành khách hãy nhanh chóng chuẩn bị cho mình một tinh thần đầy nhiệt huyết và một trái tim đầy yêu thương để cùng nhau lên đường nhé!\n Chúng mình mong rằng các tình nguyện viên của Nhà Trẻ sẽ có một hành trình thật ý nghĩa và khó quên. Mong rằng Chiến dịch Tình nguyện đông lần này sẽ diễn ra được thành công và thuận lợi. \n Khoác trên mình chiếc áo sắc thiên thanh của sự hy vọng, lạc quan và những triển vọng tích cực trong tương lai, chúng mình mong rằng sẽ giúp đỡ được nhiều mảnh đời khó khăn, còn nhiều vất vả. Giờ thì hãy cùng Nhà Trẻ checkin trước khi chuyến xe yêu thương lăn bánh nào! \n---------------------------------------------\nChiến dịch Tình nguyện đông “Mùa Gió Ấm 2024”\n️\n Địa điểm: xã Jơ-Ngây, huyện Đông Giang, tỉnh Quảng Nam\n Thời gian: 5 - 7/01/2024\n---------------------------------------------\n#CLBSTKT #MGA2024 #LanSongXanhDoBo #Trang #TeamPhoto']","['Tất cả, 214', 'Yêu thích, 143', 'Thích, 66', 'Thương thương, 4', 'Buồn, 1']","['dễ thương quá', 'đáng iu quá ạaaa', 'Đi đâu j mấy chị', 'Chăm sóc xinh z ta', 'Minh Toànn hồng một bầu trời', 'Khánh Ly chiếm hết spotlight kkk', 'Ước dc đi', 'Mng tuyệt vời quá', 'Sức Trẻ Chăm Sóc', 'Sức Trẻ Làm', 'Gét gooo', 'Đi thôi', 'Nhớ ghiaas', 'sao nỡ kh có tui huhuhu', 'chờ đợi giây phút ni lâu nắm òiiii', 'Khánhh Nghĩa giây phút buồn nôn', 'Mấy đội này mạnh', 'Minh Toànn mạnh ai nấy báo hờ', 'Khánhh Nghĩa điển hình là Knan', 'Dàn này dễ thưn thía', 'Thương Hà địp gái quá à']",17005,"Thứ Sáu, 5 Tháng 1, 2024 lúc 13:00",21
[],[],[],18034,
"['[TÌNH NGUYỆN ĐÔNG MÙA GIÓ ẤM 2024] NHỮNG MẢNH GHÉP LAN TỎA YÊU THƯƠNG\n️\n Kết thúc chặng hành trình dài gây quỹ, bong bóng nay đang tất bật chuẩn bị cho chuyến du hành đến mảnh đất Jơ-Ngây yêu thương. Làn không khí háo hức và trông đợi đã bao trùm lấy toàn bộ Nhà Trẻ. Nhưng trước tiên, hãy cùng nhìn xem, mình là ai trong 3 mảnh ghép dưới đây nhé!\n Đầu tiên chính là “Sức Trẻ Làm"", một trong ba mảnh ghép không thể thiếu đi trong mỗi mùa Mùa Gió Ấm. Là lực lượng cốt yếu của cả chuyến đi, gồm những chàng trai, cô gái có thể lực vượt trội hơn cả. Nhờ vào tinh thần nhiệt huyết và hăng say của tuổi trẻ, “Sức Trẻ Làm” sẽ đảm nhận các hoạt động xây dựng như làm đồng, lát đường, vét mương, dựng đèn… \n Một trong những mảnh ghép không kém phần quan trọng của MGA 2024 đó chính là “Sức Trẻ Chăm Sóc”. Đấy chính là người mẹ hiền chăm sóc cho chúng ta xuyên suốt chuyến đi, đàm nhận công việc chuẩn bị những bữa ăn ngon để tiếp thêm năng lượng cho tất cả các TNV. “Sức Trẻ Chăm Sóc” hứa hẹn sẽ lưu lại trong lòng các bạn hương vị không thể nào quên thông qua những món ăn được nấu bằng tất cả tình cảm của những người đầu bếp thầm lặng.\n Mảnh ghép cuối cùng của MGA 2024 không ai khác chính là “Sức Trẻ Sẻ Chia”. Đội sẽ giúp chúng ta gắn kết với những con người, những cô cậu bé hết sức đáng yêu thông qua các hoạt động như trao quà, thăm hỏi, trò chuyện cùng với các cụ, các em nhỏ và tổ chức nên những trò chơi vui nhộn, hài hước, giúp mang lại nụ cười tươi nhất trên gương mặt của các bạn nhỏ nơi đây. Nhờ có “Sức Trẻ Sẻ Chia”, chiến dịch sẽ thực hiện được mục tiêu chính của mình, lan toả tình yêu thương đến tất cả mọi người.\n️\n Chỉ còn ít ngày nữa thôi, chuyến xe yêu thương sẽ đến với mảnh đất Jơ-Ngây thân yêu. Hãy cùng chúng mình đón chờ nhé!\n--------------------------------------------------------------------------\nChiến dịch Tình nguyện đông “Mùa Gió Ấm 2024”\n️\nĐịa điểm: xã Jơ-Ngây, huyện Đông Giang, tỉnh Quảng Nam\nThời gian: 5 - 7/1/2024\n--------------------------------------------------------------------------\n#CLBSTKT #MGA2024 #manhghepyeuthuong #Winter #tittintit']","['Tất cả, 113', 'Yêu thích, 76', 'Thích, 33', 'Thương thương, 4']","['Sức Trẻ Làm Làm làm làm', 'Sức trẻ chăm sóc', 'Sức Trẻ Làm', 'Nguyễn Thị Lan Phương sẻ chiaaaa', 'Ngọc Hương ước được gọi tên như Chị Hưn a Fat', 'Nguyễn Thị Lan Phương làm làm làm', '10 điểm', 'sẵn sàng lên chiến dịch roiii ạ', 'hóng dozzz', 'sẻ chia điểm danhhhhh', 'Tô Thúy Hiền cóooo', 'Háo hức quáaaa aaaaa', '', 'sẵn sàng đi chẻ củi rồi\nThao Chi Nguyễn Ngọc Tú Hương', 'Kiều Nhi làm chăm sóc hết mình thoi', 'Ỏooooo', 'Hớn hở quá đi thôi', 'Mê lứm đi thôi', 'Yêuuuuu']",19151,"Thứ Tư, 3 Tháng 1, 2024 lúc 20:09",19
"['[TÌNH NGUYỆN ĐÔNG MÙA GIÓ ẤM 2024] BỘ NHẬN DIỆN MGA 2024\nLoa loa loa! Mùa Gió Ấm có thông báo mới nè mọi người ơi!!!\nCùng nhau thay màu áo mới cho ảnh đại diện của bạn - đón chào bộ nhận diện mới của Mùa Gió Ấm! Nối tiếp những hoạt động gây quỹ thì Bộ nhận diện mới chính là hoạt động tiếp theo trong chiến dịch tình nguyện lần này của chúng mình.\nĐây chính là thời điểm vàng để mọi người cùng nhau tag bạn bè vào và cùng hóng xem Mùa Gió Ấm lần này có gì mới\n Hãy trở thành một trong những con người bắt trend đầu tiên, cùng chúng mình cập nhật avatar ngay thôi nào!\nLink avatar ở đây nè: https://bom.so/avtMGA2024\n-------------------------------------------------------------\nChiến dịch Tình nguyện đông “Mùa Gió Ấm 2024”\n️\n Địa điểm: xã Jơ-Ngây, huyện Đông Giang, tỉnh Quảng Nam\n Thời gian: 5 - 7/1/2024\n-------------------------------------------------------------\n#CLBSTKT #MGA2024 #BNDMGA2024 #Buibuine #Ynhi']","['Tất cả, 155', 'Yêu thích, 110', 'Thích, 37', 'Thương thương, 8']","['Ơ xinh thế', 'Hoàng Khánh Huyền em hong nói là nhỏ ÝNhi Nguyễn des đâu', 'Chuẩn bị lên đường thoiii', 'Ava chin quóooo', 'Uiiii des đỉnh thế', 'Đi thoyyy', '', 'tui cx muốn che thử cái dù đóoooo', 'Hóng quá rồi mấy ní ơii', 'dc rùi đi thoiiii', 'Được roài đi thuiii', 'Thay avt nàooo', 'Nhanh thay avt chung với tớ đii', 'Tui set avatar đâyyyy', 'Thanh Hoa set ava có được đuy humm', 'Thanh Thảo riêng Đội trưởng Đội Kỹ Năng ni thì ko', 'Thanh Hoa hỗn quá ko chơi =))', 'Thanh Thảo nhớ gặp đừng đánh hông tu đá', 'đi thoai nèoooi', 'Ngọc Trâm Phan Cẩm Tú thay ava thoiii', 'Bùi Phươngg đã rõ', 'Có avt mới rùii', 'Nguyễn Thị Minh Hiếu Tu Uyen Le Pham đi hăm', 'dạ em không ở Đà Nẵng nơi', 'đang đâu rồi', 'Gờ ô', 'Thay avt ngay thoai nàoooooo', 'Khánh Ly chị thay đi nào', 'Đinh Uyên toi chưa thấy avt của chị có sự thay đổi', 'Khánh Ly chị thay rồi tôi ms thay c', 'gâu gâuuuuu', '']",20200,"Thứ Hai, 1 Tháng 1, 2024 lúc 20:00",32
[],[],[],21211,
"['[TÌNH NGUYỆN ĐÔNG MÙA GIÓ ẤM 2024] NƠI SỨC TRẺ TRAO GỬI YÊU THƯƠNG\n Thế là chặng hành trình gây quỹ cho chiến dịch “Mùa Gió Ấm 2024” đã chính thức khép lại cùng vô vàn kỉ niệm khó quên. Giờ đây, Nhà Trẻ đã sẵn sàng lên đường trao hơi ấm đến cho bà con vùng sâu vùng xa. \n Địa điểm trao gửi yêu thương năm nay tọa lạc ở xã Jơ-Ngây, huyện Đông Giang, tỉnh Quảng Nam. Đặt chân đến xã Jơ-Ngây, có lẽ sẽ rất khó để quên được phong cảnh nên thơ và sự chân chất, giản dị của con người nơi đây. Thế nhưng dưới vẻ đẹp đó mảnh đất này vẫn tồn tại nhiều khó khăn, đời sống vật chất người dân còn thiếu thốn. Với mong muốn mang đến một mùa đông ấm áp và tràn ngập những tiếng cười cho người dân, Nhà Trẻ sẽ gắng hết sức mình thực hiện chiến dịch một cách thành công tốt đẹp nhất.\n Để thực hiện được điều đó, CLB Sức Trẻ Kinh Tế rất mong sẽ còn tiếp tục nhận được sự quan tâm, giúp đỡ và đồng hành của tất cả mọi người đến cuối chặng đường “Mùa Gió Ấm 2024”. \n Các tình nguyện viên Sức Trẻ ơiii, các bạn đã sẵn sàng xách ba lô lên và đi chưa nào?\n-------------------------------------------------------------------\nChiến dịch Tình nguyện đông “Mùa Gió Ấm 2024”\n️\n Địa điểm: xã Jơ-Ngây, huyện Đông Giang, tỉnh Quảng Nam\n Thời gian: 5 - 7/1/2024\n‐------------------------------------------------------------------\n#CLBSTKT #MGA2024 #NoiTraoGuiYeuThuong #Nấm #Linn']","['Tất cả, 265', 'Thích, 174', 'Thương thương, 47', 'Yêu thích, 43', 'Wow, 1']","['Đi thuii nàooo', 'Đi đi lẹ thuii', 'géc gooooooo', 'Sẵn sàng xách balo lên và đi thoyyyyy', 'Đi thoiii', 'Ố mài gót... đường đi thiệt là thẳng tắp :))', 'lets gooo', 'Iem đã sẵn sàng', 'Đông Giang ơi chúng tui tới đây', 'Jow Ngây go go', 'Đi thôiii', 'Đã sẵn sàng ạ', '', 'Đi thoiii', 'Goooo', 'Háo hức lắm rùi', 'géc gâuuuu']",22327,"Thứ bảy, 30 Tháng 12, 2023 lúc 20:00",17
"['[TÌNH NGUYỆN ĐÔNG MÙA GIÓ ẤM 2024] BONG BÓNG VÀ CHIẾC ÁO KHOÁC MỚI\n Vậy là hành trình tìm kiếm vỏ bọc mới cho bong bóng xà phòng đã đi đến hồi kết. Giờ đây, bong bóng với chiếc áo khoác mới đã đủ sức bao bọc lấy những ước mơ, sẵn sàng tạo nên những điều tuyệt vời kế tiếp.\n Gần 2 tháng kể từ khi bắt đầu đến khi hoạt động gây quỹ kết thúc, có lẽ các TNV của chúng ta đã có cho mình những kỷ niệm vô cùng tuyệt vời nhỉ? Gặp gỡ những người bạn, người anh, người chị mới và đồng hành cùng nhau xuyên suốt các hoạt động gây quỹ, cùng khoác tay nhau rong ruổi trên những cung đường và động viên nhau trước những khó khăn,... Vui có, mệt có, nhưng không có sự chùn bước.\n 5 hoạt động gây quỹ lần lượt diễn ra một cách trọn vẹn. Để đạt được sự thành công ấy, không thể thiếu sự quan tâm giúp đỡ, ủng hộ của tất cả mọi người và đặc biệt là sự nhiệt huyết của tất cả các TNV. CLB Sức Trẻ Kinh Tế xin gửi lời cảm ơn sâu sắc nhất đến tất cả các bạn vì những đóng góp miệt mài không quản nắng mưa cho “Mùa Gió Ấm 2024”. Giờ đây, chúng ta sẽ chia tay các hoạt động gây quỹ và khởi đầu hành trình kế tiếp, không lâu nữa đâu, hẹn gặp lại nhau vào ngày lên Chiến dịch nhé!\n---------------------------------------------------------------------------------\n#CLBSTKT #MGA2024 #TongKet #KLy #GB']","['Tất cả, 74', 'Yêu thích, 64', 'Thích, 7', 'Thương thương, 2', 'Wow, 1']","['Cảm ơn các bạn rất nhiều', 'Tuyệt vời quá đi!!!', 'Hic 2 tháng sao nhanh quá z', 'Nhanh quá điiiii', 'Đáng iu quá đi thuiiii', 'Đã qua hết rùi\nCảm ơn cả nhà', 'yêuuuuu', 'Nhanh quá', 'hơn 2 tháng trôi quaa rồi saooo', 'Ngọc Lan hỏng tin 2 tháng lun chị ôi :<\nBữa hởm đăng story em còn tưởng chỉ ""4 tuần gây quỹ""', 'Hết đc gây quỹ rùi shao']",23356,"Thứ Năm, 28 Tháng 12, 2023 lúc 20:00",11
"['[TÌNH NGUYỆN ĐÔNG MÙA GIÓ ẤM 2024] MỘT VỎ BỌC HOÀN THIỆN RA ĐỜI\n️\nVà thế là chặng đường cuối cùng trong hành trình tìm kiếm vỏ bọc mới cho bong bóng xà phòng của Nhà Trẻ cũng đã đặt dấu kết thúc. Nay, bong bóng đã thực sự hoàn thiện và vững chắc.\nTrải qua những ngày đêm, không ngại thời tiết ngoài trời buốt giá, những món quà xinh đẹp đã được chúng mình trao tận tay đến những bạn nhỏ đáng yêu và ngoan ngoãn. Những khuôn mặt rạng rỡ, những nụ cười ấm áp dường như đã giúp xua tan đi phần nào cái lạnh khắc nghiệt của mùa đông này.\n️\nDịch vụ trao quà Noel đã để lại trong lòng TNV nhiều niềm vui và kỷ niệm đẹp đẽ, đồng thời đánh dấu cho sự khép lại của chiến dịch gây quỹ Mùa Gió Ấm 2024. Các bạn TNV ơiiii, các bạn đã sẵn sàng lên đường để san sẻ yêu thương chưa nào?\nLink ảnh full HD: https://bom.so/hoatdongnoel\n--------------------------------------------------------------------------\n#CLBSTKT #MGA2024 #vobochoanthien #Winter #TeamPhoto', '+14']","['Tất cả, 272', 'Yêu thích, 140', 'Thích, 130', 'Thương thương, 2']","['Trần Đức Huy dí nữaaaa', 'Nguyễn Thị Lan Phương Nguyen Thi Le Quyen k nhắc bạn còn chụp với quay video nữa', 'Trần Đức Huy anh qua nhắc đi', 'Ngô Thị Thúy Ngân Cu ni để quần tụt nè :<', 'Tống Cẩm Quỳnh cj cột cho a long đk', 'Nguyễn Hữu Minh t ko bíc, tạm pẹc', 'Quá tuyệt vời Sức Trẻ ơi', 'Dễ thưn quớ', 'Ngọc Lan sao bằng cỵ', 'Xinh quá à', 'ảnh về ảnh về', '', 'Dễ thưn quá chài', 'Iu quá', 'Đáng eooo', 'xịn quá!', 'Xịnnnnnn', 'Duy Thiệu nhiều ảnh quá nha', 'Tâm Nguyễn nhiều ảnh cho Tâm ngắm đó', 'Duy Thiệu khíp', '', 'yêu quó dzọooooo', 'Trần Đức Huy Tín Nguyễn']",24322,"Thứ Ba, 26 Tháng 12, 2023 lúc 20:07",23
[],[],[],25640,
"['[TÌNH NGUYỆN ĐÔNG MÙA GIÓ ẤM 2024] ĐÊM GIÁNG SINH - THẮP LÊN NHỮNG ƯỚC MƠ LỚN\n Từng đợt gió mùa mang theo không khí giáng sinh mùa cuối năm đã về. Thời tiết se lạnh khiến ta càng thêm mong chờ Lễ hội Noel sẽ thắp sáng và sưởi ấm bầu không khí này!\n Tiếp nối truyền thống Mùa Gió Ấm những năm trước, năm nay chuyến xe yêu thương của Nhà Trẻ tiếp tục mang những món quà đầy ý nghĩa đến với các em nhỏ, người thân và gia đình của mọi người. Những món quà được chính tay các thành viên gói ghém cẩn thận và trân trọng từng chút. Dù điều kiện thời tiết không ủng hộ nhưng bằng tấm lòng nhiệt huyết của mình, Nhà Trẻ đã giao món quà đến với mọi nhà.\n Chuyến xe yêu thương vẫn sẽ tiếp tục lăn bánh và trao quà đến tận tay các em nhỏ. Mong rằng qua hoạt động này, Nhà Trẻ có thể giúp các em bé thắp lên ánh sáng, ước mơ tuổi ấu thơ. Chúc cho mọi người sẽ có một mùa giáng sinh an lành và hạnh phúc.\n—-------------------------------------------------\n#CLBSTKT #MGA2024 #Noel #Hiln #TeamPhoto', '+3']","['Tất cả, 255', 'Thích, 176', 'Yêu thích, 74', 'Thương thương, 4', 'Haha, 1']","['Hello Kitty xin chèooooo', 'Ông già noel nhà Trẻ này đáng iu quá ạ ^^', 'Ngân Thiên quô', 'xịn quá ạ', 'Đáng iu quáaa', 'Dễ thw quớ z', 'Đáng yêu qá', 'mê chưaaaaa', 'Cái anh áo vàng vàng dễ thương dưz', 'Cũng dễ huông', 'Quỳnh Gieo là con ghẻ của clb òiiii', 'Khánhh Nghĩa ụa 3 ông già noel nớ là con ghẻ của Quỳn Gieo hả', 'Nguyễn Thị Lan Phương 3 ông già chắc con cưng của clb chơ quỳnh gieo kh bic 3 ông nớ']",26875,"Thứ Hai, 25 Tháng 12, 2023 lúc 09:00",13
"['[TÌNH NGUYỆN ĐÔNG MÙA GIÓ ẤM 2024] LỄ HỘI Ở XỨ SỞ BĂNG GIÁ\n“Noel này, các cậu đã có ai ở cạnh chưa?”\nThật lạnh giá nếu chỉ có một mình nhỉ? Nhưng đừng lo, hãy để Suctre’s Santa giúp các cậu và sưởi ấm những cho trái tim lạnh lẽo bằng việc vận chuyển những đơn hàng “yêu thương” của chúng mình nha!\nCác Santa cuối cùng cũng đã xuất phát, hãy tìm xem phiếu bé ngoan năm nay sẽ thuộc về ai? Và chủ nhân của  những món quà “yêu thương” sẽ nằm trong tay bạn nhỏ nào nhé! Mỗi một cuộc hành trình, chiếc xe “tuần lộc” của Suctre’s Santa lại ghé thăm đến từng ngôi nhà, trao tận tay đến các bạn nhỏ những món quà xinh xắn với bao điều ấm áp. Các bạn TNV không chỉ được hóa trang làm Santa mà còn được hòa mình vào lễ hội “Tuyết trắng”, ngắm nhìn những nụ cười hạnh phúc của các bạn nhỏ với một mùa giáng sinh an lành.\nĐể hiểu rõ hơn về hành trình lần này của chúng mình, hãy cùng nhau nhìn lại những khoảnh khắc đáng nhớ ngày hôm ấy nhé! Và điều quan trọng cuối cùng chính là Merry “chít mớt” - giáng sinh thật vui vẻ!   \n-------------------------------------------------------------------------------------\n #CLBSTKT #MGA2024 #LHOXSBG #Buibuine #TMT', '0:06 / 0:55']","['Tất cả, 252', 'Thích, 161', 'Yêu thích, 89', 'Thương thương, 2']","['Trời lạnh mà ở bên Nhà Trẻ ấm quáaaaa', 'Giáng sinh an lành', 'Mê quá', 'Xinh đẹp tuyệt vời', 'nhìu ông già noel qáa ngợp iii', 'Merry Christmas', 'Đi giao quà cùng ông già Noel nào', 'Mai Trâm định nói mà sợ sai', 'Ngọc Hương ê koi cí chi xịn chưa nè', 'Thao Chi thiếu tớ', 'K có tui nữa', 'Ước Duy Thiệu chở đi giao quà', 'Tâm Nguyễn Tâm thích là được', 'tuyệcccccc', '', '0:00', '/', '1:50', 'Đinh Văn Kỳ Nguyễn Thị Lan Phương Ngô Thị Thúy Ngân Trần Thảo Trườngg Viết Khang Trần Quỳnh Anh Thao Chi Tú Ngọc đội hình ni chiến quáaaaaaa', 'Ngọc Lan tag lạ rk mẩy']",28118,"Thứ bảy, 23 Tháng 12, 2023 lúc 20:13",20
